CODIGO;NOMBRE
191;SOFTWARE - ANTIVIRUS - ESET - NOD32 ANTIVIRUS - LICENCIA PARA 5 PC (2023) - SIN N/P
11;SOFTWARE - SEGURIDAD OFICINAS - KASPERSKY - SMALL OFFICE SECURITY - LICENCIA PARA 10 PCS - SIN N/P
474;ACCESORIO FOTOGRÁFICO - LUMINARIA LED - GENÉRICO - GENÉRICO - KIT ARO LED TIK TOK (26CM) + TRIPODE 2.0M, USB 5V - SIN N/P
1199;TARJETA DE EXPANSIÓN - TARJETA DE VIDEO - ASUS - DUAL GEFORCE RTX 5050 OC - 8GB GDDR6 128-BIT, PCIE 4.0 - 90YV0N72-M0AA00
389;AUDIO - AURICULARES GAMER - CORSAIR - HS35 - AURICULAR CON MICRÓFONO DESMONTABLE, CONECTOR 3.5MM - SIN N/P
975;AUDIO - AURICULARES - TEROS - TE-8078R - AURICULAR CONDUCCIÓN ÓSEA, BLUETOOTH, MICRÓFONO INTEGRADO - SIN N/P
404;AUDIO - AURICULARES GAMER - HALION - S5 - AURICULAR CON MICRÓFONO, ILUMINACIÓN LED RGB, 3.5MM - SIN N/P
7;AUDIO - AURICULARES - GENIUS - GHP-300B - AURICULAR ULTRA DELGADO (ON-EAR), DIADEMA PLEGABLE, ROSA - SIN N/P
636;AUDIO - AURICULARES GAMER - HALION - XI5 VIPER - AURICULAR 7.1 VIRTUAL, MICRÓFONO, LED ROJO, USB/3.5MM - SIN N/P
195;AUDIO - AURICULARES - HALION - T50 - AURICULAR CON MICRÓFONO INTEGRADO, CONECTOR 3.5MM - SIN N/P
942;AUDIO - AURICULARES - TEROS - TE-8033N - AURICULAR INALÁMBRICO, CANCELACIÓN RUIDO (ANC), BLUETOOTH, NEGRO - SIN N/P
652;AUDIO - AURICULARES GAMER - KLIP XTREME - KHS-620RD - AURICULAR BLUETOOTH ON-EAR CON MICRÓFONO, LED, ROJO - SIN N/P
804;AUDIO - AURICULARES GAMER - KLIP XTREME - KHS-620SV - AURICULAR BLUETOOTH ON-EAR CON MICRÓFONO, LED, PLATA - SIN N/P
620;AUDIO - AURICULARES - KLIP XTREME - KSH-270 - AURICULAR CON MICRÓFONO PARA PC, DIADEMA AJUSTABLE, 3.5MM - SIN N/P
